symptom,bodily_system,effected_area
anxiety and nervousness,Psychological,Brain
depression,Psychological,Brain
shortness of breath,Respiratory,Lungs
depressive or psychotic symptoms,Psychological,Brain
sharp chest pain,Cardiovascular,Chest
dizziness,Neurological,Head
insomnia,Psychological,Head
abnormal involuntary movements,Neurological,Whole Body
chest tightness,"Respiratory, Cardiovascular, Musculoskeletal",Chest
palpitations,Cardiovascular,Heart
irregular heartbeat,Cardiovascular,Heart
breathing fast,Respiratory,Chest
hoarse voice,"Respiratory, ENT",Vocal Cords
sore throat,ENT,Throat
difficulty speaking,Neurological,Head
cough,Respiratory,Lungs
nasal congestion,ENT,Nose
throat swelling,ENT,Throat
diminished hearing,ENT,Ear
lump in throat,ENT,Throat
throat feels tight,ENT,Throat
difficulty in swallowing,"Digestive, ENT, Neurological",Throat
skin swelling,Dermatologic,Skin
retention of urine,Urinary,Pelvis
groin mass,Reproductive,Groin
leg pain,Musculoskeletal,Leg
hip pain,Musculoskeletal,Hip
suprapubic pain,"Urinary, Reproductive",Bladder
blood in stool,Gastrointestinal,Abdomen
lack of growth,"Endocrine, Musculoskeletal",Whole Body
emotional symptoms,"Psychological, Neurological",Brain
elbow weakness,Neurological,Arm
back weakness,Neurological,Back
pus in sputum,Respiratory,Chest
symptoms of the scrotum and testes,Reproductive,Groin
swelling of scrotum,Reproductive,Groin
pain in testicles,Reproductive,Groin
flatulence,Gastrointestinal,Abdomen
pus draining from ear,ENT,Ear
jaundice,"Digestive, Hematologic",Skin/Eyes
mass in scrotum,Reproductive,Groin
white discharge from eye,Ophthalmic,Eye
irritable infant,"Pediatric",Whole Body
abusing alcohol,"Psychological, Behavioral",Brain
fainting,Neurological,Whole Body
hostile behavior,Psychological,Head
drug abuse,"Psychological, Behavioral",Brain
sharp abdominal pain,Gastrointestinal,Abdomen
feeling ill,"Immune, Systemic",Whole Body
vomiting,Gastrointestinal,Stomach
headache,Neurological,Head
nausea,Gastrointestinal,Stomach
diarrhea,Gastrointestinal,Intestines
vaginal itching,Reproductive,Vagina
vaginal dryness,Reproductive,Pelvis
painful urination,Urinary,Bladder/Urethra
involuntary urination,Urinary,Pelvis
pain during intercourse,"Reproductive, Genitourinary",Reproductive Organs
frequent urination,Urinary,Bladder
lower abdominal pain,Gastrointestinal,Lower Abdomen
vaginal discharge,Reproductive,Vagina
blood in urine,Urinary,Kidneys/Bladder
hot flashes,Endocrine,Whole Body
intermenstrual bleeding,Reproductive,Pelvis
hand or finger pain,"Musculoskeletal, Neurological",Hand/Finger
wrist pain,Musculoskeletal,Wrist
hand or finger swelling,"Musculoskeletal, Cardiovascular, Renal",Hand/Finger
arm pain,Musculoskeletal,Arm
wrist swelling,Musculoskeletal,Wrist
arm stiffness or tightness,Musculoskeletal,Arm
arm swelling,Musculoskeletal,Arm
hand or finger stiffness or tightness,"Musculoskeletal, Neurological",Hand
wrist stiffness or tightness,Musculoskeletal,Wrist
lip swelling,"Dermatologic, Immune",Lips
toothache,"Dental, Neurological",Teeth
abnormal appearing skin,ENT,Ear
skin lesion,Dermatologic,Skin
acne or pimples,Dermatologic,Skin
dry lips,"Dermatologic, Endocrine",Lips
facial pain,"Neurological, Musculoskeletal, ENT",Face
mouth ulcer,"Digestive, Immune",Mouth
skin growth,Dermatologic,Skin
eye deviation,Ophthalmic,Eye
diminished vision,Ophthalmic,Eye
double vision,Ophthalmic,Eye
cross-eyed,Ophthalmic,Eye
symptoms of eye,Ophthalmic,Eye
pain in eye,Ophthalmic,Eye
eye moves abnormally,Ophthalmic,Eye
abnormal movement of eyelid,Ophthalmic,Eye
foreign body sensation in eye,Ophthalmic,Eye
irregular appearing scalp,ENT,Ear
swollen lymph nodes,"Immune, Lymphatic",Neck
back pain,Musculoskeletal,Back
neck pain,Musculoskeletal,Neck
low back pain,Musculoskeletal,Back
pain of the anus,"Digestive, Dermatologic",Anus
pain during pregnancy,Reproductive,Pelvis
pelvic pain,"Reproductive, Genitourinary, Musculoskeletal",Pelvis
impotence,"Reproductive, Cardiovascular, Neurological",Groin
infant spitting up,Pediatric,Abdomen
vomiting blood,Gastrointestinal,Abdomen
regurgitation,Digestive,Esophagus
